batch_idx,loss,accuracy,time_ms
1,0.321846,92.1875,578.47
2,0.112683,96.8750,512.63
3,0.360642,92.1875,577.34
4,0.214485,92.1875,506.46
5,0.406201,90.6250,510.16
6,0.310084,90.6250,566.21
7,0.238623,89.0625,711.99
8,0.096423,98.4375,577.37
9,0.281229,85.9375,493.27
10,0.282311,90.6250,511.52
11,0.273317,90.6250,509.23
12,0.302475,92.1875,474.38
13,0.234023,90.6250,537.57
14,0.251829,93.7500,501.09
15,0.388330,89.0625,600.15
16,0.273567,89.0625,567.25
17,0.358851,89.0625,488.25
18,0.241879,89.0625,523.40
19,0.173909,93.7500,510.37
20,0.204985,92.1875,481.23
21,0.297776,89.0625,517.37
22,0.220561,92.1875,491.50
23,0.408856,85.9375,485.88
24,0.211683,92.1875,543.52
25,0.120601,92.1875,497.16
26,0.439028,84.3750,528.92
27,0.522394,84.3750,494.32
28,0.146312,92.1875,476.05
29,0.401454,85.9375,521.13
30,0.164614,90.6250,483.49
31,0.384373,92.1875,487.66
32,0.152002,95.3125,568.74
33,0.077805,98.4375,475.12
34,0.204879,92.1875,540.81
35,0.043084,100.0000,502.57
36,0.438606,87.5000,490.83
37,0.207220,92.1875,550.32
38,0.246051,95.3125,502.22
39,0.224592,93.7500,501.07
40,0.219284,93.7500,550.01
41,0.147391,93.7500,487.86
42,0.278503,89.0625,523.31
43,0.403688,89.0625,490.87
44,0.301769,85.9375,486.74
45,0.179819,95.3125,531.50
46,0.284956,93.7500,472.85
47,0.215957,90.6250,504.11
48,0.094943,96.8750,519.47
49,0.166245,95.3125,485.07
50,0.355380,87.5000,481.79
51,0.227825,95.3125,565.22
52,0.095374,96.8750,517.07
53,0.215916,92.1875,512.75
54,0.374891,85.9375,483.85
55,0.248322,92.1875,494.61
56,0.277600,87.5000,563.25
57,0.289282,93.7500,478.84
58,0.329999,89.0625,543.05
59,0.354437,89.0625,627.57
60,0.130359,93.7500,723.89
61,0.276344,93.7500,752.00
62,0.147167,93.7500,520.84
63,0.190414,96.8750,531.93
64,0.442851,81.2500,570.39
65,0.209428,93.7500,484.85
66,0.334137,93.7500,531.27
67,0.082723,96.8750,495.58
68,0.284824,92.1875,531.45
69,0.293705,89.0625,484.47
70,0.259446,90.6250,521.91
71,0.378813,87.5000,539.11
72,0.133601,95.3125,481.94
73,0.320734,87.5000,484.15
74,0.187505,93.7500,562.90
75,0.390742,87.5000,507.84
76,0.445913,92.1875,511.19
77,0.110442,98.4375,493.63
78,0.392139,90.6250,513.16
79,0.320937,93.7500,520.14
80,0.325462,87.5000,482.71
81,0.249416,92.1875,487.92
82,0.233262,92.1875,550.51
83,0.183747,93.7500,494.10
84,0.249720,93.7500,497.43
85,0.204603,95.3125,493.57
86,0.173901,92.1875,495.87
87,0.185622,93.7500,570.33
88,0.267097,90.6250,492.25
89,0.253125,90.6250,486.79
90,0.344859,84.3750,532.54
91,0.284402,87.5000,486.08
92,0.215837,92.1875,493.43
93,0.241725,87.5000,515.42
94,0.512478,84.3750,470.51
95,0.190047,93.7500,517.69
96,0.242863,93.7500,694.02
97,0.228605,90.6250,482.90
98,0.095120,98.4375,564.23
99,0.317604,89.0625,489.97
100,0.178615,95.3125,527.31
101,0.313716,89.0625,489.35
102,0.296885,89.0625,482.33
103,0.110584,95.3125,547.15
104,0.315466,87.5000,533.26
105,0.315966,90.6250,489.57
106,0.272463,89.0625,574.67
107,0.269615,87.5000,493.94
108,0.260313,89.0625,522.18
109,0.231160,89.0625,494.92
110,0.173796,92.1875,581.14
111,0.326781,90.6250,536.36
112,0.173316,92.1875,487.51
113,0.335745,92.1875,493.60
114,0.376933,84.3750,615.92
115,0.138128,95.3125,501.18
116,0.295061,89.0625,544.19
117,0.358285,89.0625,488.37
118,0.179988,93.7500,492.27
119,0.411342,82.8125,524.79
120,0.230466,93.7500,474.95
121,0.387392,87.5000,478.63
