batch_idx,loss,accuracy,time_ms
1,0.490285,87.5000,549.40
2,0.470500,89.0625,502.77
3,0.642299,85.9375,528.44
4,0.456646,85.9375,507.22
5,0.433548,87.5000,597.89
6,0.298991,90.6250,481.36
7,0.526011,85.9375,489.03
8,0.329333,89.0625,511.05
9,0.460324,85.9375,493.94
10,0.579492,81.2500,514.70
11,0.415037,84.3750,478.76
12,0.569286,79.6875,490.17
13,0.345681,89.0625,530.38
14,0.352377,92.1875,489.74
15,0.454777,90.6250,484.89
16,0.718535,76.5625,528.00
17,0.370147,87.5000,475.74
18,0.605497,87.5000,501.74
19,0.425794,87.5000,505.92
20,0.349695,89.0625,488.15
21,0.537080,81.2500,519.77
22,0.779934,75.0000,531.26
23,0.827142,81.2500,501.73
24,0.453052,84.3750,542.99
25,0.503118,82.8125,491.82
26,0.783804,76.5625,481.19
27,0.505245,85.9375,534.28
28,0.325611,85.9375,490.73
29,0.528266,81.2500,521.58
30,0.385542,84.3750,570.12
31,0.560795,81.2500,704.36
32,0.578893,79.6875,526.28
33,0.220119,95.3125,503.40
34,0.377479,89.0625,547.38
35,0.305150,93.7500,511.29
36,0.615171,78.1250,479.84
37,0.227732,93.7500,548.60
38,0.303895,92.1875,493.06
39,0.426026,84.3750,517.75
40,0.406668,87.5000,474.34
41,0.396064,87.5000,476.73
42,0.328635,90.6250,517.32
43,0.587222,82.8125,493.84
44,0.426854,85.9375,516.74
45,0.516172,78.1250,520.15
46,0.491714,81.2500,484.37
47,0.422589,79.6875,501.58
48,0.184001,93.7500,538.85
49,0.335259,92.1875,602.22
50,0.483034,84.3750,533.90
51,0.516179,84.3750,544.83
52,0.256098,92.1875,603.00
53,0.625013,82.8125,528.24
54,0.618553,79.6875,474.63
55,0.541270,85.9375,532.46
56,0.389538,87.5000,493.32
57,0.325859,92.1875,483.09
58,0.379812,85.9375,571.48
59,0.408957,85.9375,494.67
60,0.365941,90.6250,485.52
61,0.240273,90.6250,520.68
62,0.395507,89.0625,499.54
63,0.241580,89.0625,524.20
64,0.634854,81.2500,555.33
65,0.262756,90.6250,484.44
66,0.209427,95.3125,596.19
67,0.346644,84.3750,495.40
68,0.418195,87.5000,497.80
69,0.315233,89.0625,493.05
70,0.483868,85.9375,488.72
71,0.380176,85.9375,539.50
72,0.268504,90.6250,506.00
73,0.615903,79.6875,496.21
74,0.444896,85.9375,561.78
75,0.481154,82.8125,545.15
76,0.627373,85.9375,531.96
77,0.286771,90.6250,498.79
78,0.508832,85.9375,509.79
79,0.456959,84.3750,530.40
80,0.396163,82.8125,507.48
81,0.458176,87.5000,488.88
82,0.352258,92.1875,551.88
83,0.389586,87.5000,527.54
84,0.625911,85.9375,570.09
85,0.480219,82.8125,490.43
86,0.565717,84.3750,505.97
87,0.413642,92.1875,541.61
88,0.567447,81.2500,495.94
89,0.303495,89.0625,489.01
90,0.454295,87.5000,500.50
91,0.395570,89.0625,496.16
92,0.424462,82.8125,502.11
93,0.506317,84.3750,472.29
94,0.569119,81.2500,471.11
95,0.479689,87.5000,523.89
96,0.381724,85.9375,475.82
97,0.579941,81.2500,478.49
98,0.315531,92.1875,534.95
99,0.454403,84.3750,484.52
100,0.572802,84.3750,497.45
101,0.367680,82.8125,501.82
102,0.596099,82.8125,551.21
103,0.397019,85.9375,524.09
104,0.570186,82.8125,525.06
105,0.451856,87.5000,497.16
106,0.340946,87.5000,541.70
107,0.266763,92.1875,485.62
108,0.521108,82.8125,492.71
109,0.326983,89.0625,518.45
110,0.398573,85.9375,474.98
111,0.651023,82.8125,506.75
112,0.376719,84.3750,500.50
113,0.464130,81.2500,484.08
114,0.662166,75.0000,508.41
115,0.355478,89.0625,483.86
116,0.554951,79.6875,479.14
117,0.680140,79.6875,531.73
118,0.316845,90.6250,469.00
119,0.371924,85.9375,491.70
120,0.351267,90.6250,483.84
121,0.778672,76.5625,473.82
122,0.418214,84.3750,514.31
123,0.243121,87.5000,485.99
124,0.273130,90.6250,473.84
125,0.476512,84.3750,501.68
126,0.232658,92.1875,475.11
127,0.468607,84.3750,467.25
128,0.404300,87.5000,511.36
129,0.494978,84.3750,496.26
130,0.617585,85.9375,545.07
131,0.372943,84.3750,504.90
132,0.308628,87.5000,484.99
133,0.371246,87.5000,493.12
134,0.280712,85.9375,668.61
135,0.583606,78.1250,561.97
136,0.772697,81.2500,521.50
137,0.392754,89.0625,480.52
138,0.403117,84.3750,516.40
139,0.393253,89.0625,501.73
140,0.323800,90.6250,485.10
141,0.737885,84.3750,527.40
142,0.612847,79.6875,494.84
143,0.520209,79.6875,489.50
144,0.617223,85.9375,553.17
145,0.412445,85.9375,486.07
146,0.359753,87.5000,497.70
147,0.632030,76.5625,491.82
148,0.463138,85.9375,488.55
149,0.411196,89.0625,523.82
150,0.674185,75.0000,476.52
151,0.395304,89.0625,494.89
152,0.354160,87.5000,505.26
153,0.419665,90.6250,472.53
154,0.254878,93.7500,477.61
155,0.451016,82.8125,551.78
156,0.669953,82.8125,483.39
157,0.520142,85.9375,553.24
158,0.234567,95.3125,509.17
159,0.272636,90.6250,507.75
160,0.707825,76.5625,552.80
161,0.578518,82.8125,512.52
162,0.343807,92.1875,525.41
163,0.610051,79.6875,522.20
164,0.357831,87.5000,474.39
165,0.365479,85.9375,597.05
166,0.624547,79.6875,469.44
167,0.373909,90.6250,500.17
168,0.489709,85.9375,509.94
169,0.502601,82.8125,505.36
