batch_idx,loss,accuracy,time_ms
1,3.833733,0.0000,556.72
2,3.494152,3.1250,594.46
3,3.419641,3.1250,488.47
4,3.278478,7.8125,511.58
5,3.350322,7.8125,524.93
6,3.299961,3.1250,500.50
7,3.297351,3.1250,524.37
8,3.284018,3.1250,486.23
9,3.312000,1.5625,482.99
10,3.283199,3.1250,565.81
11,3.283092,3.1250,481.67
12,3.323056,4.6875,608.74
13,3.331960,3.1250,526.56
14,3.320755,4.6875,483.02
15,3.236265,9.3750,574.83
16,3.277731,1.5625,508.45
17,3.282874,3.1250,539.66
18,3.267159,7.8125,549.49
19,3.317268,3.1250,588.37
20,3.282245,9.3750,567.22
21,3.218241,10.9375,489.40
22,3.313708,3.1250,534.79
23,3.216119,9.3750,497.82
24,3.293757,3.1250,546.96
25,3.240511,9.3750,577.10
26,3.206420,10.9375,489.45
27,3.129897,14.0625,514.45
28,3.208208,9.3750,492.62
29,3.242385,6.2500,484.68
30,3.280121,10.9375,542.27
31,3.321189,9.3750,495.18
32,3.283989,3.1250,501.91
33,3.210783,9.3750,535.04
34,3.304274,7.8125,505.56
35,3.217264,9.3750,565.23
36,3.342020,4.6875,492.20
37,3.237092,6.2500,490.81
38,3.238028,4.6875,537.46
39,3.254653,4.6875,492.98
40,3.277995,4.6875,524.43
41,3.205197,7.8125,482.12
42,3.259958,4.6875,499.16
43,3.222063,7.8125,563.16
44,3.291300,6.2500,539.29
45,3.164592,14.0625,493.66
46,3.162004,6.2500,526.11
47,3.237569,7.8125,490.91
48,3.114158,12.5000,530.12
49,3.163496,7.8125,483.21
50,3.253154,4.6875,502.68
51,3.179862,7.8125,540.58
52,3.183033,12.5000,485.41
53,3.153052,9.3750,499.69
54,3.249736,4.6875,520.57
55,3.140010,7.8125,486.15
56,3.169480,6.2500,617.59
57,3.258107,7.8125,491.36
58,3.220148,9.3750,500.47
59,3.181429,9.3750,577.06
60,3.144624,7.8125,490.33
61,3.080091,9.3750,549.16
62,2.963715,17.1875,491.06
63,3.163456,10.9375,517.71
64,3.092188,12.5000,550.35
65,3.071516,10.9375,504.91
66,3.317274,4.6875,514.98
67,3.100702,9.3750,519.95
68,3.273228,3.1250,505.21
69,3.135802,14.0625,545.27
70,3.039885,9.3750,567.34
71,3.155170,6.2500,596.90
72,3.198669,7.8125,513.97
73,3.091708,15.6250,482.68
74,3.235257,9.3750,649.52
75,3.253223,4.6875,499.03
76,3.106505,9.3750,552.62
77,3.131196,7.8125,499.21
78,3.102623,7.8125,516.21
79,3.235759,6.2500,525.43
80,3.228158,6.2500,501.64
81,3.227949,3.1250,498.36
82,3.133508,9.3750,554.77
83,3.164955,6.2500,498.24
84,3.160310,10.9375,556.91
85,3.152279,9.3750,500.31
86,3.113048,9.3750,500.90
87,3.142026,7.8125,600.66
88,3.096475,4.6875,493.87
89,2.980222,12.5000,519.75
90,3.239053,7.8125,494.95
91,3.204260,6.2500,494.32
92,3.138721,7.8125,550.71
93,3.241028,7.8125,495.26
94,3.051446,10.9375,510.23
95,3.311206,4.6875,539.13
96,3.014418,12.5000,518.01
97,3.165287,3.1250,651.56
98,3.133077,7.8125,505.57
99,3.172080,4.6875,511.00
100,3.148739,10.9375,524.93
101,3.072638,10.9375,487.29
102,3.229284,9.3750,526.39
103,3.075504,14.0625,478.37
104,3.131573,7.8125,487.69
105,3.167547,4.6875,562.05
106,3.176794,7.8125,476.41
107,3.090627,12.5000,474.12
108,3.244520,4.6875,535.73
109,3.085909,9.3750,538.07
110,2.993366,10.9375,538.43
111,3.123488,10.9375,496.81
112,3.072518,14.0625,494.76
113,3.190454,4.6875,573.47
114,3.310239,4.6875,489.89
115,3.164805,6.2500,525.82
116,3.049938,15.6250,492.42
117,3.207532,6.2500,510.59
118,3.291828,4.6875,641.28
119,3.022728,12.5000,487.80
120,3.202806,4.6875,557.55
121,3.051623,7.8125,513.56
122,3.133903,9.3750,587.20
123,3.277317,3.1250,606.31
124,3.082067,10.9375,546.15
125,3.094780,7.8125,555.04
126,3.019421,10.9375,486.00
127,3.101371,10.9375,501.09
128,3.037600,10.9375,558.06
129,3.136770,9.3750,493.03
130,3.062745,10.9375,550.85
131,3.116960,7.8125,497.86
132,3.084247,9.3750,496.32
133,3.087722,12.5000,545.79
134,3.089437,10.9375,504.41
135,3.151249,6.2500,485.08
136,3.177255,4.6875,570.44
137,3.128027,6.2500,489.78
138,3.143858,7.8125,531.23
139,3.164782,12.5000,500.45
140,3.296156,4.6875,498.44
141,3.281973,4.6875,552.10
