batch_idx,loss,accuracy,time_ms
1,0.121145,93.7500,655.02
2,0.075871,96.8750,510.24
3,0.167425,93.7500,555.87
4,0.088007,96.8750,503.06
5,0.201236,92.1875,501.53
6,0.062040,98.4375,594.14
7,0.341127,90.6250,493.90
8,0.154494,95.3125,588.49
9,0.272284,87.5000,502.98
10,0.147130,95.3125,510.36
11,0.132939,93.7500,600.05
12,0.116663,95.3125,581.62
13,0.177167,93.7500,528.48
14,0.171212,95.3125,512.37
15,0.030472,98.4375,593.54
16,0.309391,90.6250,495.51
17,0.164861,98.4375,593.82
18,0.063384,98.4375,496.78
19,0.200389,90.6250,642.28
20,0.221356,96.8750,511.83
21,0.396710,84.3750,532.55
22,0.085384,96.8750,563.83
23,0.042198,100.0000,502.59
24,0.161522,95.3125,611.01
25,0.073651,96.8750,500.22
26,0.059584,100.0000,570.91
27,0.053109,96.8750,498.13
28,0.085425,98.4375,571.59
29,0.126093,95.3125,499.06
30,0.137144,95.3125,575.45
31,0.050066,98.4375,495.97
32,0.163420,95.3125,498.61
33,0.212326,92.1875,625.60
34,0.113779,95.3125,497.52
35,0.282612,85.9375,595.80
36,0.196842,95.3125,504.28
37,0.074002,96.8750,519.89
38,0.229436,95.3125,584.46
39,0.192196,93.7500,499.10
40,0.116966,96.8750,604.19
41,0.183110,93.7500,541.87
42,0.080669,96.8750,569.72
43,0.135730,95.3125,533.10
44,0.135965,95.3125,553.83
45,0.222090,89.0625,509.51
46,0.130537,95.3125,600.49
47,0.120498,95.3125,498.41
48,0.129021,93.7500,653.75
49,0.085693,96.8750,505.80
50,0.083226,95.3125,622.86
51,0.067485,96.8750,501.47
52,0.139306,92.1875,562.85
53,0.127391,93.7500,500.17
54,0.133674,93.7500,551.53
55,0.112889,95.3125,530.14
56,0.091392,95.3125,496.70
57,0.158542,96.8750,666.63
58,0.082210,98.4375,495.11
59,0.114328,93.7500,565.25
60,0.213343,92.1875,505.02
61,0.069125,98.4375,553.78
62,0.196821,92.1875,532.31
63,0.069287,96.8750,576.35
64,0.087742,95.3125,497.73
65,0.123848,98.4375,546.78
66,0.067282,98.4375,536.86
67,0.218722,93.7500,568.51
68,0.051531,98.4375,499.09
69,0.056516,96.8750,601.05
70,0.143278,96.8750,498.04
71,0.106299,93.7500,496.13
72,0.133070,93.7500,669.22
73,0.188129,95.3125,497.28
74,0.201725,96.8750,642.15
75,0.070695,96.8750,502.05
76,0.332432,90.6250,529.29
77,0.176570,93.7500,546.60
78,0.162660,96.8750,507.51
79,0.328783,92.1875,662.61
80,0.192719,95.3125,496.63
81,0.139513,92.1875,524.91
82,0.155810,92.1875,578.53
83,0.261653,93.7500,551.29
84,0.096573,96.8750,530.82
85,0.255544,92.1875,498.71
86,0.109439,95.3125,622.94
87,0.223323,93.7500,501.70
88,0.106048,95.3125,567.34
89,0.091031,96.8750,515.17
90,0.088948,96.8750,588.03
91,0.106004,96.8750,495.33
92,0.014736,100.0000,499.40
93,0.114934,96.8750,639.27
94,0.067903,98.4375,503.32
95,0.127929,96.8750,596.00
96,0.064509,98.4375,496.22
97,0.082829,100.0000,628.25
98,0.146314,93.7500,494.78
99,0.154605,95.3125,559.52
100,0.081773,96.8750,498.15
101,0.129574,93.7500,554.74
102,0.132313,93.7500,519.93
103,0.167254,95.3125,496.28
104,0.177423,93.7500,625.91
105,0.067606,98.4375,502.52
106,0.048155,98.4375,548.52
107,0.133750,93.7500,527.43
108,0.100961,95.3125,569.19
109,0.207162,92.1875,496.84
110,0.186971,93.7500,564.16
111,0.179086,93.7500,515.41
112,0.106019,96.8750,498.24
113,0.209793,90.6250,583.36
114,0.048616,98.4375,501.45
115,0.140544,92.1875,616.02
116,0.120505,93.7500,505.47
117,0.062740,96.8750,589.34
118,0.092081,98.4375,501.16
119,0.067252,96.8750,657.02
120,0.130942,96.8750,494.83
121,0.116718,96.8750,606.48
122,0.132165,93.7500,496.37
123,0.101558,95.3125,644.29
124,0.174074,93.7500,497.73
125,0.035703,98.4375,633.40
126,0.103967,95.3125,495.95
127,0.172263,90.6250,645.04
128,0.245498,92.1875,499.90
129,0.115286,93.7500,575.36
130,0.133103,93.7500,505.48
131,0.183159,93.7500,497.49
132,0.154147,90.6250,645.21
133,0.144614,93.7500,502.44
134,0.210054,92.1875,648.83
135,0.071113,96.8750,501.81
136,0.145758,93.7500,561.99
137,0.147245,92.1875,500.06
138,0.081121,95.3125,601.34
139,0.191648,96.8750,502.19
140,0.062367,98.4375,555.97
141,0.137161,93.7500,510.75
142,0.151975,96.8750,497.65
143,0.055856,98.4375,600.10
144,0.025662,100.0000,500.21
145,0.124802,96.8750,595.88
146,0.140030,95.3125,493.38
147,0.083285,96.8750,500.84
148,0.046699,98.4375,614.37
149,0.165054,92.1875,504.00
150,0.208665,93.7500,562.35
151,0.164646,93.7500,529.05
152,0.137109,95.3125,500.64
153,0.096599,96.8750,604.16
154,0.133819,93.7500,501.04
155,0.055639,100.0000,613.58
156,0.162933,92.1875,531.97
157,0.116738,95.3125,545.17
158,0.137372,95.3125,499.28
159,0.130486,93.7500,618.45
160,0.125829,95.3125,500.25
161,0.224804,93.7500,566.46
162,0.183583,90.6250,498.67
163,0.062394,98.4375,591.18
164,0.104161,95.3125,497.71
165,0.100852,95.3125,499.41
166,0.099337,96.8750,630.68
167,0.308670,89.0625,500.48
168,0.094047,96.8750,645.65
169,0.085618,98.4375,501.01
170,0.245845,92.1875,577.24
171,0.202318,93.7500,516.32
172,0.033069,98.4375,496.58
173,0.050224,98.4375,589.35
174,0.221017,90.6250,501.24
175,0.064287,96.8750,652.40
176,0.068763,98.4375,503.25
177,0.311622,89.0625,592.78
178,0.248261,87.5000,506.94
179,0.072414,98.4375,652.02
180,0.107512,95.3125,501.82
181,0.065662,96.8750,560.58
182,0.142764,93.7500,495.92
183,0.075934,98.4375,494.81
184,0.105976,96.8750,659.80
185,0.085192,96.8750,497.06
186,0.106173,96.8750,588.36
187,0.194279,92.1875,501.92
188,0.229712,95.3125,582.90
