batch_idx,loss,accuracy,time_ms
1,3.486377,1.5625,707.80
2,3.434825,3.1250,504.11
3,3.262186,6.2500,578.62
4,3.366778,6.2500,513.85
5,3.358635,10.9375,514.97
6,3.440789,1.5625,623.54
7,3.381492,4.6875,518.57
8,3.338761,3.1250,645.48
9,3.371737,3.1250,514.26
10,3.316074,6.2500,577.09
11,3.253075,7.8125,516.69
12,3.244148,7.8125,530.43
13,3.268951,1.5625,599.33
14,3.301780,0.0000,513.63
15,3.222505,6.2500,582.52
16,3.302043,7.8125,512.44
17,3.347432,6.2500,655.51
18,3.235847,4.6875,512.16
19,3.170146,9.3750,583.11
20,3.372040,3.1250,512.81
21,3.317487,6.2500,550.72
22,3.257550,9.3750,540.04
23,3.273493,3.1250,533.53
24,3.294190,6.2500,599.39
25,3.228949,1.5625,558.02
26,3.188275,6.2500,546.79
27,3.165149,4.6875,505.21
28,3.265110,3.1250,579.25
29,3.206768,7.8125,505.34
30,3.258932,3.1250,605.51
31,3.190521,6.2500,508.32
32,3.173201,7.8125,563.23
33,3.269623,4.6875,509.57
34,3.092916,10.9375,552.13
35,3.077164,10.9375,552.86
36,3.172470,3.1250,528.32
37,3.152649,7.8125,598.61
38,3.147978,10.9375,508.24
39,3.120325,6.2500,592.96
40,3.023316,9.3750,512.97
41,3.163617,3.1250,568.92
42,3.065058,3.1250,512.39
43,3.147000,4.6875,511.49
44,3.149316,4.6875,609.06
45,3.273046,6.2500,515.93
46,3.199476,7.8125,576.38
47,3.244565,4.6875,516.44
48,3.164255,9.3750,578.53
49,3.124444,10.9375,525.88
50,3.212264,3.1250,580.60
51,3.096883,7.8125,520.83
52,3.194607,6.2500,570.80
53,3.053304,4.6875,538.74
54,3.188996,4.6875,519.98
55,3.149023,12.5000,642.36
56,3.059531,14.0625,538.32
57,3.172147,4.6875,584.59
58,3.117290,4.6875,517.67
59,3.076881,12.5000,606.33
60,3.182222,7.8125,525.13
61,3.068546,12.5000,581.98
62,3.033123,7.8125,499.32
63,3.123278,10.9375,574.68
64,3.031735,15.6250,514.07
65,3.138242,4.6875,539.46
66,3.066301,12.5000,584.21
67,3.062899,15.6250,547.95
68,3.133702,9.3750,575.46
69,3.006630,12.5000,566.74
70,2.981523,15.6250,517.07
71,2.934352,18.7500,517.69
72,3.060436,6.2500,643.84
73,3.109863,9.3750,513.55
74,3.065066,6.2500,570.64
75,3.057725,17.1875,514.94
76,3.037735,15.6250,512.28
77,3.013222,10.9375,657.94
78,2.838797,17.1875,516.20
79,2.997173,12.5000,574.70
80,2.978024,15.6250,511.20
81,2.873133,18.7500,579.12
82,2.888696,10.9375,529.61
83,2.963223,12.5000,515.08
84,2.858546,20.3125,653.28
85,2.953796,14.0625,515.48
86,2.840032,14.0625,571.34
87,2.913440,18.7500,514.60
88,3.013156,12.5000,517.71
89,2.932127,18.7500,646.36
90,3.008752,9.3750,519.04
91,2.839971,15.6250,599.01
92,2.823349,17.1875,520.18
93,2.936736,12.5000,567.64
94,2.907425,12.5000,549.48
95,2.998785,7.8125,512.55
96,2.942916,12.5000,651.94
97,2.880944,15.6250,517.35
98,2.985480,20.3125,584.27
99,2.785910,17.1875,516.79
100,2.861050,14.0625,564.87
101,2.927799,10.9375,539.63
102,2.793329,12.5000,514.53
103,2.832507,21.8750,651.36
104,2.803679,17.1875,546.99
105,2.850853,7.8125,569.20
106,2.933299,10.9375,573.80
107,2.886727,17.1875,513.42
108,2.828244,20.3125,569.11
109,2.788185,17.1875,512.42
110,2.799252,17.1875,512.45
111,2.829369,12.5000,639.78
112,2.955046,9.3750,513.28
113,2.943667,15.6250,653.66
114,2.682855,18.7500,519.03
115,2.769094,14.0625,584.96
116,2.591591,14.0625,507.56
117,2.665955,10.9375,564.58
118,3.076857,15.6250,546.62
119,2.736096,15.6250,514.90
120,2.567831,23.4375,622.91
121,2.775434,18.7500,512.69
122,2.697009,15.6250,571.53
123,2.752594,18.7500,500.79
124,2.665300,21.8750,518.77
125,2.787160,10.9375,628.84
126,2.617925,20.3125,512.88
127,2.705297,18.7500,646.14
128,2.680017,15.6250,510.73
129,2.749333,14.0625,591.05
130,2.600672,18.7500,510.69
131,2.582490,29.6875,570.10
132,2.712230,15.6250,567.54
133,2.594744,18.7500,582.57
134,2.604577,17.1875,512.08
135,2.542082,25.0000,514.67
136,2.617465,21.8750,654.55
137,2.534188,20.3125,531.54
138,2.596427,26.5625,583.06
139,2.737219,26.5625,567.42
140,2.620391,25.0000,514.50
141,2.688147,15.6250,511.99
142,2.793893,17.1875,646.51
143,2.562657,20.3125,517.85
144,2.433527,20.3125,625.06
145,2.601814,21.8750,515.51
146,2.617200,20.3125,589.26
147,2.480726,21.8750,515.84
148,2.706534,17.1875,637.87
149,2.730589,14.0625,515.39
150,2.452712,25.0000,628.23
151,2.535549,15.6250,517.32
152,2.465194,23.4375,654.35
153,2.668024,17.1875,511.47
154,2.583853,17.1875,587.28
155,2.525350,20.3125,513.78
156,2.482578,23.4375,580.49
157,2.587780,21.8750,512.86
158,2.543634,21.8750,572.30
159,2.535729,26.5625,540.49
160,2.332162,39.0625,561.11
161,2.595606,21.8750,566.97
162,2.575709,26.5625,568.75
163,2.440228,20.3125,546.07
164,2.488728,32.8125,509.02
165,2.543877,20.3125,655.26
166,2.475526,25.0000,516.84
167,2.531772,20.3125,668.45
168,2.352461,26.5625,516.39
169,2.414710,26.5625,627.77
170,2.479405,23.4375,515.23
171,2.451120,26.5625,592.96
172,2.427354,21.8750,516.73
173,2.315428,26.5625,534.63
174,2.457514,23.4375,591.94
175,2.272363,32.8125,511.17
176,2.394375,35.9375,601.59
177,2.569349,18.7500,516.65
178,2.313693,26.5625,606.13
179,2.317108,39.0625,516.25
180,2.556616,15.6250,563.05
181,2.133671,37.5000,547.69
182,2.408950,28.1250,510.03
183,2.644601,23.4375,624.96
184,2.189407,29.6875,501.07
185,2.248187,31.2500,573.44
186,2.209379,35.9375,529.35
187,2.334753,26.5625,511.48
188,2.316437,31.2500,608.32
189,2.358320,32.8125,555.77
190,2.382005,28.1250,564.82
191,2.179973,35.9375,565.40
192,2.164901,31.2500,534.32
193,2.224641,28.1250,567.23
194,2.212822,34.3750,528.95
195,2.183908,32.8125,518.98
196,2.483606,26.5625,625.71
197,2.260629,32.8125,562.60
198,2.004290,48.4375,558.20
199,2.223243,26.5625,568.26
200,2.258425,25.0000,512.06
201,2.023175,39.0625,563.83
202,1.970011,42.1875,537.98
203,2.084761,40.6250,584.59
204,2.162530,32.8125,523.40
205,2.107714,25.0000,571.31
206,2.237016,26.5625,516.27
207,2.023006,37.5000,512.34
208,2.167635,31.2500,607.11
209,2.189203,39.0625,512.68
210,2.094942,39.0625,619.10
211,2.125885,34.3750,516.01
212,1.983105,37.5000,669.74
213,2.038588,31.2500,524.77
214,2.122134,42.1875,650.84
215,2.240981,29.6875,501.44
216,1.895884,45.3125,622.39
217,2.012692,28.1250,502.42
218,2.094686,25.0000,560.61
219,1.989163,43.7500,501.71
220,2.114781,32.8125,498.67
221,1.991082,34.3750,635.62
222,2.100000,32.8125,497.81
223,2.056766,35.9375,628.04
224,2.066801,42.1875,500.49
225,1.907874,37.5000,564.69
226,1.866977,46.8750,521.14
227,1.974867,32.8125,501.43
228,1.978609,45.3125,595.91
229,1.892485,42.1875,546.21
230,1.781764,45.3125,535.50
231,2.018684,39.0625,496.42
232,2.062924,40.6250,599.44
233,2.069330,39.0625,499.15
234,1.983714,32.8125,591.36
235,1.916079,35.9375,499.67
236,1.824946,34.3750,581.56
237,1.863197,39.0625,497.65
238,1.859517,40.6250,530.50
239,2.029759,35.9375,570.26
240,1.763193,42.1875,500.71
241,1.936301,35.9375,579.14
242,2.125482,39.0625,497.19
243,2.013898,34.3750,503.65
244,1.735396,50.0000,628.58
245,1.864868,34.3750,497.89
246,1.904909,28.1250,656.25
247,2.245553,31.2500,523.41
248,1.986878,37.5000,582.81
249,1.789747,43.7500,502.60
250,2.048518,31.2500,558.50
251,1.912301,39.0625,518.49
252,1.745584,43.7500,504.87
253,1.851900,45.3125,650.14
254,1.746794,37.5000,495.65
255,1.860846,45.3125,578.61
256,1.795989,51.5625,492.69
257,1.735715,40.6250,493.42
258,1.960646,35.9375,609.44
259,1.835348,39.0625,496.16
260,1.730233,42.1875,583.15
261,1.877348,39.0625,496.34
262,1.732245,42.1875,492.36
263,1.787376,53.1250,608.77
264,2.126625,25.0000,496.94
265,1.758983,43.7500,562.75
266,1.851460,35.9375,519.74
267,1.911978,39.0625,499.69
268,1.728863,46.8750,621.14
269,1.597772,50.0000,498.66
270,1.630890,46.8750,624.17
271,1.694018,37.5000,507.22
272,1.781785,40.6250,635.18
273,1.851055,40.6250,501.01
274,1.615242,46.8750,565.29
275,1.797097,31.2500,502.89
276,1.745164,37.5000,528.09
277,1.675661,46.8750,574.31
278,1.717961,48.4375,499.84
279,1.717096,50.0000,603.28
280,1.674512,48.4375,487.45
281,1.678200,48.4375,611.72
282,1.665199,48.4375,501.78
283,1.632033,48.4375,565.61
284,1.698355,46.8750,498.07
285,1.830245,40.6250,537.20
286,1.555635,57.8125,556.45
287,1.754122,46.8750,500.40
288,1.479647,56.2500,562.24
289,1.596845,54.6875,497.29
290,1.574714,40.6250,500.22
291,1.881940,40.6250,631.46
292,1.810453,50.0000,502.92
293,1.457311,43.7500,519.51
294,1.691802,51.5625,564.88
295,1.942883,35.9375,519.81
296,1.710707,40.6250,581.66
297,1.448247,56.2500,497.92
298,1.729503,43.7500,600.57
299,1.687167,50.0000,507.27
300,1.626347,45.3125,646.96
301,1.914679,34.3750,500.49
302,1.690585,46.8750,550.55
303,1.492425,48.4375,547.77
304,1.493872,54.6875,556.09
305,1.601341,48.4375,504.47
306,1.458389,51.5625,498.53
307,1.577679,51.5625,588.27
308,1.726548,40.6250,500.23
309,1.642295,50.0000,524.86
