batch_idx,loss,accuracy,time_ms
1,0.257443,93.7500,591.25
2,0.176326,92.1875,494.74
3,0.287554,89.0625,501.87
4,0.330240,90.6250,650.86
5,0.211728,90.6250,497.98
6,0.093597,98.4375,664.54
7,0.367587,84.3750,515.84
8,0.211977,93.7500,627.04
9,0.187108,90.6250,509.26
10,0.255227,89.0625,596.54
11,0.139911,93.7500,505.60
12,0.147464,95.3125,597.40
13,0.312354,90.6250,509.35
14,0.283239,90.6250,506.72
15,0.086287,98.4375,604.47
16,0.342550,85.9375,507.69
17,0.171832,95.3125,652.91
18,0.102969,95.3125,526.30
19,0.239640,92.1875,590.08
20,0.308632,89.0625,509.63
21,0.582838,84.3750,577.21
22,0.160470,96.8750,507.82
23,0.142493,95.3125,507.43
24,0.203967,93.7500,618.95
25,0.056374,98.4375,510.92
26,0.082176,98.4375,589.89
27,0.129731,95.3125,512.16
28,0.232569,93.7500,641.85
29,0.219378,93.7500,506.64
30,0.277060,92.1875,653.46
31,0.142405,93.7500,510.07
32,0.267843,90.6250,593.39
33,0.274869,92.1875,510.16
34,0.198359,92.1875,588.24
35,0.339694,85.9375,510.49
36,0.240344,92.1875,581.92
37,0.161676,93.7500,511.12
38,0.320189,89.0625,516.77
39,0.261020,92.1875,603.40
40,0.226643,92.1875,507.69
41,0.410294,89.0625,593.34
42,0.097272,96.8750,515.80
43,0.227916,93.7500,548.91
44,0.112219,96.8750,542.78
45,0.294688,89.0625,546.05
46,0.184319,93.7500,673.56
47,0.284363,90.6250,525.33
48,0.271593,90.6250,601.92
49,0.195035,93.7500,505.48
50,0.224749,92.1875,590.88
51,0.149483,93.7500,509.87
52,0.224710,93.7500,567.80
53,0.179964,90.6250,507.44
54,0.218141,93.7500,598.92
55,0.180329,93.7500,513.75
56,0.155795,93.7500,641.08
57,0.284401,85.9375,513.14
58,0.124286,96.8750,526.58
59,0.209002,93.7500,583.94
60,0.222968,89.0625,557.72
61,0.108612,96.8750,526.47
62,0.282444,93.7500,558.55
63,0.095525,98.4375,563.98
64,0.101138,96.8750,571.83
65,0.178371,93.7500,513.32
66,0.190671,92.1875,619.60
67,0.246570,92.1875,518.32
68,0.135286,93.7500,633.86
69,0.073399,98.4375,551.60
70,0.157614,92.1875,560.67
71,0.155512,95.3125,572.82
72,0.168790,93.7500,525.78
73,0.254978,93.7500,563.51
74,0.253968,95.3125,513.21
75,0.150058,93.7500,595.26
76,0.355605,90.6250,509.08
77,0.259619,92.1875,558.39
78,0.205580,92.1875,565.38
79,0.218844,92.1875,509.25
80,0.199409,95.3125,646.77
81,0.210410,92.1875,508.03
82,0.219013,90.6250,579.14
83,0.266182,92.1875,508.78
84,0.215358,92.1875,583.65
85,0.434973,87.5000,506.21
86,0.163816,98.4375,559.07
87,0.161039,95.3125,543.97
88,0.173985,93.7500,508.96
89,0.138648,96.8750,646.30
90,0.180090,92.1875,538.11
91,0.103148,95.3125,572.42
92,0.028449,100.0000,509.45
93,0.189795,92.1875,586.40
94,0.079329,96.8750,514.67
95,0.265537,92.1875,567.75
96,0.150424,92.1875,567.07
97,0.306496,92.1875,491.63
98,0.295838,87.5000,494.91
99,0.197406,90.6250,611.84
100,0.053145,96.8750,495.10
101,0.226958,92.1875,548.06
102,0.153539,95.3125,542.50
103,0.310828,95.3125,535.31
104,0.227170,92.1875,539.40
105,0.172413,95.3125,494.34
106,0.104293,95.3125,582.94
107,0.148960,96.8750,496.47
108,0.239670,89.0625,506.01
109,0.152197,93.7500,565.05
110,0.374719,85.9375,513.11
111,0.161295,98.4375,567.10
112,0.280322,90.6250,495.73
113,0.262649,95.3125,552.18
114,0.149110,96.8750,496.26
115,0.232565,92.1875,496.48
116,0.174108,93.7500,626.03
117,0.270970,93.7500,489.83
118,0.210678,92.1875,539.67
119,0.130457,96.8750,529.86
120,0.206927,92.1875,490.72
121,0.225909,93.7500,618.09
122,0.152611,93.7500,496.09
123,0.098121,95.3125,600.23
124,0.188219,92.1875,493.31
125,0.142672,96.8750,557.69
126,0.134564,95.3125,490.89
127,0.183790,90.6250,542.26
128,0.237253,92.1875,543.28
129,0.201952,90.6250,498.48
130,0.187209,89.0625,625.06
131,0.249149,90.6250,494.64
132,0.300991,92.1875,519.00
133,0.173903,93.7500,539.59
134,0.227401,89.0625,495.54
135,0.164838,92.1875,583.11
136,0.197589,93.7500,490.04
137,0.261799,85.9375,646.57
138,0.273922,85.9375,487.17
139,0.249396,92.1875,573.66
140,0.182575,93.7500,504.69
141,0.145326,90.6250,615.61
142,0.219038,92.1875,488.86
143,0.142551,95.3125,486.49
144,0.076774,96.8750,579.24
145,0.285369,93.7500,485.78
146,0.215885,93.7500,640.61
147,0.215818,92.1875,491.36
148,0.163763,90.6250,634.87
149,0.227183,90.6250,494.46
150,0.170453,96.8750,559.02
151,0.299860,87.5000,493.03
152,0.133597,95.3125,582.65
153,0.154343,93.7500,492.59
154,0.196067,93.7500,559.80
155,0.175368,96.8750,494.70
156,0.168513,92.1875,519.59
157,0.232069,92.1875,560.95
158,0.112383,96.8750,494.60
159,0.110296,93.7500,598.44
160,0.208942,90.6250,495.13
161,0.170097,95.3125,602.71
162,0.297178,90.6250,493.19
163,0.093731,96.8750,598.89
164,0.078167,96.8750,496.81
165,0.108644,96.8750,582.32
166,0.156124,95.3125,497.62
167,0.403470,85.9375,497.32
168,0.112454,95.3125,646.95
169,0.164887,96.8750,494.09
170,0.230580,92.1875,630.19
171,0.221762,93.7500,495.17
172,0.061098,98.4375,495.47
173,0.140845,93.7500,590.75
174,0.222485,92.1875,490.88
175,0.088698,96.8750,653.47
176,0.091004,95.3125,502.94
177,0.219754,90.6250,547.78
178,0.309060,85.9375,542.28
179,0.122231,96.8750,538.54
180,0.272055,92.1875,524.36
181,0.103222,95.3125,543.28
182,0.252319,89.0625,544.09
183,0.199194,90.6250,497.07
184,0.287093,87.5000,599.92
185,0.132912,95.3125,495.32
186,0.138262,95.3125,556.41
187,0.234427,92.1875,495.43
188,0.258112,90.6250,494.48
189,0.058577,100.0000,581.67
190,0.230979,89.0625,497.22
191,0.148260,95.3125,575.63
192,0.273970,89.0625,493.10
193,0.139069,93.7500,524.54
194,0.258712,90.6250,553.22
195,0.274775,90.6250,492.26
196,0.205896,89.0625,580.06
197,0.234706,90.6250,493.49
198,0.121952,96.8750,494.31
199,0.293531,93.7500,593.25
200,0.158687,93.7500,494.40
201,0.296455,92.1875,634.45
202,0.063007,96.8750,491.80
203,0.163454,89.0625,568.57
204,0.256926,90.6250,494.44
205,0.297518,85.9375,493.47
206,0.147253,93.7500,609.45
207,0.194857,93.7500,492.44
208,0.270136,90.6250,607.45
209,0.243524,90.6250,494.17
210,0.147688,93.7500,576.85
211,0.161952,96.8750,492.55
212,0.193887,93.7500,490.98
213,0.199480,95.3125,639.79
214,0.100167,98.4375,506.24
215,0.180829,96.8750,548.12
216,0.197392,93.7500,533.10
217,0.123937,95.3125,493.20
218,0.132582,95.3125,578.38
219,0.203271,95.3125,493.36
220,0.174250,95.3125,534.50
221,0.114731,96.8750,548.15
222,0.322172,89.0625,499.23
223,0.131435,96.8750,599.87
224,0.114381,96.8750,494.76
225,0.204379,95.3125,542.35
226,0.140853,95.3125,524.71
227,0.195979,92.1875,494.14
228,0.150189,95.3125,602.00
229,0.134402,95.3125,491.62
230,0.130776,93.7500,569.63
231,0.154997,93.7500,491.28
232,0.222334,90.6250,554.51
233,0.177753,95.3125,494.26
234,0.183495,95.3125,492.18
235,0.144526,92.1875,614.10
236,0.167843,92.1875,494.57
237,0.213287,89.0625,544.89
238,0.240436,85.9375,522.20
239,0.244148,92.1875,495.96
240,0.095460,96.8750,581.77
241,0.232110,90.6250,494.32
242,0.191723,95.3125,569.51
243,0.153567,93.7500,491.27
244,0.200763,95.3125,555.42
245,0.152771,95.3125,495.46
246,0.158840,92.1875,571.58
247,0.342886,89.0625,493.34
248,0.384741,84.3750,553.68
249,0.264143,92.1875,491.79
250,0.175663,95.3125,562.67
251,0.252377,92.1875,504.11
252,0.194781,95.3125,553.10
253,0.137309,95.3125,492.51
254,0.172729,95.3125,492.67
255,0.355809,85.9375,627.86
256,0.297347,87.5000,494.78
257,0.156855,95.3125,553.12
258,0.211464,90.6250,495.21
259,0.207513,90.6250,493.67
260,0.050565,100.0000,615.66
261,0.092316,96.8750,493.81
262,0.302274,90.6250,640.53
263,0.149457,96.8750,494.69
264,0.275222,89.0625,536.75
265,0.182067,93.7500,514.75
266,0.284842,89.0625,565.14
267,0.137917,95.3125,498.58
268,0.248384,92.1875,558.97
269,0.108982,95.3125,510.09
270,0.156907,95.3125,501.30
271,0.128380,95.3125,634.28
272,0.142877,92.1875,493.41
273,0.165745,95.3125,494.23
274,0.158813,93.7500,594.23
275,0.207783,93.7500,529.53
276,0.077730,95.3125,517.52
277,0.139187,95.3125,535.60
278,0.135127,92.1875,542.05
279,0.146682,93.7500,500.09
280,0.178818,92.1875,605.83
281,0.319274,87.5000,499.55
282,0.251790,98.4375,646.59
283,0.261407,95.3125,493.59
284,0.166416,92.1875,615.69
285,0.271891,87.5000,514.66
286,0.138593,95.3125,579.37
287,0.080105,96.8750,491.87
288,0.141713,93.7500,602.58
289,0.157953,93.7500,505.65
290,0.303826,92.1875,638.89
291,0.147039,95.3125,496.74
292,0.126629,95.3125,560.33
293,0.140543,95.3125,493.71
294,0.192591,93.7500,495.91
295,0.340095,85.9375,641.97
296,0.204511,90.6250,495.18
297,0.206155,92.1875,641.80
298,0.139217,96.8750,493.18
299,0.233160,92.1875,559.03
300,0.175372,92.1875,494.72
301,0.229445,87.5000,548.61
302,0.178896,92.1875,521.18
303,0.103467,98.4375,554.76
304,0.218166,90.6250,497.22
305,0.317459,92.1875,537.49
306,0.146276,96.8750,553.45
307,0.096253,95.3125,524.86
308,0.348066,84.3750,559.95
309,0.163987,95.3125,495.20
310,0.060189,96.8750,584.76
311,0.155598,95.3125,496.67
312,0.155886,93.7500,583.61
313,0.359406,85.9375,494.17
314,0.153374,93.7500,548.80
315,0.187148,90.6250,494.00
316,0.195440,92.1875,592.36
317,0.129377,93.7500,491.01
318,0.173001,95.3125,508.95
319,0.208440,92.1875,593.98
320,0.237047,92.1875,492.47
321,0.181079,93.7500,547.35
322,0.158560,93.7500,491.74
323,0.186076,90.6250,564.53
324,0.322191,92.1875,494.31
325,0.079021,96.8750,562.99
