batch_idx,loss,accuracy,time_ms
1,0.079429,96.8750,514.81
2,0.045895,98.4375,607.57
3,0.088650,96.8750,518.41
4,0.035393,98.4375,608.56
5,0.164271,95.3125,518.52
6,0.047637,98.4375,512.41
7,0.073155,98.4375,624.03
8,0.092182,98.4375,526.06
9,0.115660,93.7500,663.39
10,0.081760,95.3125,519.15
11,0.081361,95.3125,597.19
12,0.080001,95.3125,516.10
13,0.058169,95.3125,646.03
14,0.056754,98.4375,521.40
15,0.016805,100.0000,613.96
16,0.106028,95.3125,514.02
17,0.054403,98.4375,635.10
18,0.033957,98.4375,516.11
19,0.121701,95.3125,668.09
20,0.114086,96.8750,511.57
21,0.176876,95.3125,627.73
22,0.018185,100.0000,513.11
23,0.037576,98.4375,573.51
24,0.096832,96.8750,516.96
25,0.032143,96.8750,510.28
26,0.022970,100.0000,650.50
27,0.026656,98.4375,523.74
28,0.035325,100.0000,659.30
29,0.078074,96.8750,515.30
30,0.122120,95.3125,657.29
31,0.040112,98.4375,515.20
32,0.124199,95.3125,571.90
33,0.072328,95.3125,515.82
34,0.047531,96.8750,519.98
35,0.084297,96.8750,634.99
36,0.109346,96.8750,516.51
37,0.064119,98.4375,588.30
38,0.108946,93.7500,512.94
39,0.143302,93.7500,535.43
40,0.018316,100.0000,587.42
41,0.161628,89.0625,534.80
42,0.035537,98.4375,586.76
43,0.107216,95.3125,544.54
44,0.054995,96.8750,585.86
45,0.158973,92.1875,563.29
46,0.089588,96.8750,546.95
47,0.265562,93.7500,584.42
48,0.039951,98.4375,517.07
49,0.047877,98.4375,597.55
50,0.057779,98.4375,523.12
51,0.058392,98.4375,588.79
52,0.050285,96.8750,544.60
53,0.141431,90.6250,602.75
54,0.140768,95.3125,513.47
55,0.079457,93.7500,572.93
56,0.053176,96.8750,517.87
57,0.057548,98.4375,587.75
58,0.036631,98.4375,534.64
59,0.082411,96.8750,524.12
60,0.113711,96.8750,595.74
61,0.029121,100.0000,520.95
62,0.083647,95.3125,573.30
63,0.053237,95.3125,529.51
64,0.035296,98.4375,606.68
65,0.036318,98.4375,501.69
66,0.042617,96.8750,609.03
67,0.079898,96.8750,500.09
68,0.046009,98.4375,580.23
69,0.063598,96.8750,501.76
70,0.039737,100.0000,599.26
71,0.040211,98.4375,497.34
72,0.017087,100.0000,639.18
73,0.095013,95.3125,501.08
74,0.030726,100.0000,589.99
75,0.027493,100.0000,502.98
76,0.230241,96.8750,553.10
77,0.087675,95.3125,500.27
78,0.190927,96.8750,604.10
79,0.180679,93.7500,497.25
80,0.088144,96.8750,605.34
81,0.081508,96.8750,500.43
82,0.081170,96.8750,501.72
83,0.073428,95.3125,604.03
84,0.057112,96.8750,500.12
85,0.097219,93.7500,572.17
86,0.103738,98.4375,503.04
87,0.078325,96.8750,504.44
88,0.009402,100.0000,651.20
89,0.045187,98.4375,502.64
90,0.054019,98.4375,580.20
91,0.063919,96.8750,518.88
92,0.002456,100.0000,541.91
93,0.048026,98.4375,545.35
94,0.039725,96.8750,503.38
95,0.070723,96.8750,632.17
96,0.083874,95.3125,501.39
97,0.064927,96.8750,637.15
98,0.055066,100.0000,506.29
99,0.061259,96.8750,593.70
100,0.016708,100.0000,502.81
101,0.085700,96.8750,527.85
102,0.042420,98.4375,567.46
103,0.222576,93.7500,500.25
104,0.055825,96.8750,579.87
105,0.010942,100.0000,496.34
106,0.062781,95.3125,499.66
107,0.098762,95.3125,597.06
108,0.036434,98.4375,528.68
109,0.094294,93.7500,568.85
110,0.069659,98.4375,565.66
111,0.124631,95.3125,501.64
112,0.125968,95.3125,502.80
113,0.108802,98.4375,600.19
114,0.038324,98.4375,500.64
115,0.031826,98.4375,630.94
116,0.113791,95.3125,500.19
117,0.051611,98.4375,537.23
118,0.131697,95.3125,532.98
119,0.046213,98.4375,502.06
120,0.040500,98.4375,647.58
121,0.043709,98.4375,500.28
122,0.076663,98.4375,531.60
123,0.025582,100.0000,571.72
124,0.090027,95.3125,504.69
125,0.017031,100.0000,567.17
126,0.057545,96.8750,500.90
127,0.049861,100.0000,499.57
128,0.118778,95.3125,636.79
129,0.126165,95.3125,507.60
130,0.037238,100.0000,571.73
131,0.064888,96.8750,503.93
132,0.090019,95.3125,579.11
133,0.017111,100.0000,499.43
134,0.032163,98.4375,589.89
135,0.077775,95.3125,502.92
136,0.070231,95.3125,536.15
137,0.080322,95.3125,565.41
138,0.083855,96.8750,504.35
139,0.064029,96.8750,600.42
140,0.015668,100.0000,501.32
141,0.076889,95.3125,579.88
142,0.087048,95.3125,498.05
143,0.034952,96.8750,599.74
