batch_idx,loss,accuracy,time_ms
1,0.219261,92.1875,531.28
2,0.302902,87.5000,527.10
3,0.472725,84.3750,577.46
4,0.362368,89.0625,514.58
5,0.454124,82.8125,586.63
6,0.328333,89.0625,514.73
7,0.560002,79.6875,545.05
8,0.397897,85.9375,559.31
9,0.305958,92.1875,592.96
10,0.256306,90.6250,527.88
11,0.400076,85.9375,523.70
12,0.248462,89.0625,623.98
13,0.456153,85.9375,521.31
14,0.527495,81.2500,568.05
15,0.201423,93.7500,520.26
16,0.549136,81.2500,574.28
17,0.516052,87.5000,563.78
18,0.224954,90.6250,569.79
19,0.322921,87.5000,544.13
20,0.485780,90.6250,607.84
21,0.494891,79.6875,513.50
22,0.351251,90.6250,570.82
23,0.219644,92.1875,521.78
24,0.309859,89.0625,516.06
25,0.265506,89.0625,660.62
26,0.371359,85.9375,512.72
27,0.191244,96.8750,590.24
28,0.351338,84.3750,512.16
29,0.459106,85.9375,568.08
30,0.374261,92.1875,557.11
31,0.342947,85.9375,577.15
32,0.554642,81.2500,514.68
33,0.557320,81.2500,573.01
34,0.400727,87.5000,514.44
35,0.536021,81.2500,553.41
36,0.343940,87.5000,518.74
37,0.382427,87.5000,588.10
38,0.351702,87.5000,515.06
39,0.441378,85.9375,511.92
40,0.170056,93.7500,621.05
41,0.514624,82.8125,516.76
42,0.157329,98.4375,640.06
43,0.280379,89.0625,549.48
44,0.351853,87.5000,569.04
45,0.407621,85.9375,576.83
46,0.319274,89.0625,516.10
47,0.485903,81.2500,591.46
48,0.370035,85.9375,517.62
49,0.263310,92.1875,514.87
50,0.470893,87.5000,638.05
51,0.240327,96.8750,519.33
52,0.397908,87.5000,574.05
53,0.347089,87.5000,507.37
54,0.353837,87.5000,512.06
55,0.293929,92.1875,605.55
56,0.268834,89.0625,519.14
57,0.638722,78.1250,657.36
58,0.484137,87.5000,512.55
59,0.308416,87.5000,662.69
60,0.460031,81.2500,514.46
61,0.221835,93.7500,567.98
62,0.408198,89.0625,499.75
63,0.307172,89.0625,566.20
64,0.185474,93.7500,513.95
65,0.375119,89.0625,568.15
66,0.262154,89.0625,491.39
67,0.320352,92.1875,495.39
68,0.361236,85.9375,645.49
69,0.203053,92.1875,493.67
70,0.393758,85.9375,582.10
71,0.273029,90.6250,488.28
72,0.293056,89.0625,524.81
73,0.593204,81.2500,549.56
74,0.321852,87.5000,555.27
75,0.392728,84.3750,511.75
76,0.464700,79.6875,498.73
77,0.282578,95.3125,561.11
78,0.297562,89.0625,498.67
79,0.338215,85.9375,579.75
80,0.351879,92.1875,500.39
81,0.369078,84.3750,530.96
82,0.322227,89.0625,559.56
83,0.420737,87.5000,502.07
84,0.214879,89.0625,597.51
85,0.521550,85.9375,502.23
86,0.427821,79.6875,590.43
87,0.259303,92.1875,505.47
88,0.256268,92.1875,514.68
89,0.220365,96.8750,615.64
90,0.350349,87.5000,542.57
91,0.279382,90.6250,547.00
92,0.145514,95.3125,515.83
93,0.476874,82.8125,589.49
94,0.152901,95.3125,502.70
95,0.484024,82.8125,593.78
96,0.241936,96.8750,501.03
97,0.409050,81.2500,598.68
98,0.284668,90.6250,500.66
99,0.395710,89.0625,590.57
100,0.333773,90.6250,499.02
101,0.477070,85.9375,501.69
102,0.202336,93.7500,604.08
103,0.293877,89.0625,498.77
104,0.431167,82.8125,560.11
105,0.514141,87.5000,501.65
106,0.262995,93.7500,499.22
107,0.308611,87.5000,587.76
108,0.355412,84.3750,500.57
109,0.287148,90.6250,625.73
110,0.575447,78.1250,513.74
111,0.287984,93.7500,597.42
112,0.426706,85.9375,534.51
113,0.429998,84.3750,559.46
114,0.301964,89.0625,502.67
115,0.434891,85.9375,580.24
116,0.256655,90.6250,498.43
117,0.251234,93.7500,559.99
118,0.281578,92.1875,504.62
119,0.243931,90.6250,500.39
120,0.375641,89.0625,614.35
121,0.416601,85.9375,496.25
122,0.366580,87.5000,647.79
123,0.348959,90.6250,496.09
124,0.387988,89.0625,600.23
125,0.284333,90.6250,511.76
126,0.304088,92.1875,586.55
127,0.316710,89.0625,500.77
128,0.448003,87.5000,651.15
129,0.547213,81.2500,504.05
130,0.359417,85.9375,534.55
131,0.554944,87.5000,550.61
132,0.401728,85.9375,549.21
133,0.278178,89.0625,528.07
134,0.476850,89.0625,497.49
135,0.167601,95.3125,589.52
136,0.427425,84.3750,503.41
137,0.401790,81.2500,570.12
138,0.467354,82.8125,503.43
139,0.361112,85.9375,555.27
140,0.466403,85.9375,505.01
141,0.408143,82.8125,496.91
142,0.462696,84.3750,638.52
143,0.240136,90.6250,503.12
144,0.171857,95.3125,561.83
145,0.461979,84.3750,498.73
146,0.444395,87.5000,504.94
147,0.434698,92.1875,639.70
148,0.334500,89.0625,505.59
149,0.397516,84.3750,570.66
150,0.383704,87.5000,498.43
151,0.472164,81.2500,553.53
152,0.262828,90.6250,530.64
153,0.210328,92.1875,499.34
154,0.419393,82.8125,631.41
155,0.253672,96.8750,501.00
156,0.340658,89.0625,622.80
157,0.379223,85.9375,518.29
158,0.358182,84.3750,567.31
159,0.273119,90.6250,495.94
160,0.475672,81.2500,567.04
161,0.351474,84.3750,506.52
162,0.446356,84.3750,512.17
163,0.368664,90.6250,620.05
164,0.268801,95.3125,501.73
165,0.279920,89.0625,553.53
166,0.384534,89.0625,545.94
167,0.485077,84.3750,500.93
168,0.294556,87.5000,608.96
169,0.195554,93.7500,499.19
170,0.278642,90.6250,653.16
171,0.271572,85.9375,500.28
172,0.212936,95.3125,563.29
173,0.232452,93.7500,509.59
174,0.329470,84.3750,500.52
175,0.234749,93.7500,632.19
176,0.250328,89.0625,497.00
177,0.431046,81.2500,563.47
178,0.547915,79.6875,494.71
179,0.413484,82.8125,555.62
180,0.302099,90.6250,497.89
181,0.279678,93.7500,577.84
182,0.373601,90.6250,506.01
183,0.327172,89.0625,546.38
184,0.622360,85.9375,531.67
185,0.291495,89.0625,499.40
186,0.276655,87.5000,647.97
187,0.507996,81.2500,495.25
188,0.364873,85.9375,586.07
189,0.206411,95.3125,500.53
190,0.346303,90.6250,505.20
191,0.296234,92.1875,594.16
192,0.684911,76.5625,500.28
193,0.324914,87.5000,599.48
194,0.342248,90.6250,499.27
195,0.407299,90.6250,582.36
196,0.361973,85.9375,499.05
197,0.375354,87.5000,558.45
198,0.379839,84.3750,544.73
199,0.447686,89.0625,505.58
200,0.420416,87.5000,630.06
201,0.478550,85.9375,504.71
202,0.258673,87.5000,556.64
203,0.254166,90.6250,501.33
204,0.492286,81.2500,555.88
